iter	Passed	Remaining
759	2886	911
760	2887	906
761	2889	902
762	2891	898
763	2893	893
764	2895	889
765	2896	884
766	2898	880
767	2899	876
768	2901	871
769	2902	867
770	2904	862
771	2908	858
772	2909	854
773	2911	850
774	2912	845
775	2914	841
776	2915	836
777	2916	832
778	2917	827
779	2919	823
780	2922	819
781	2923	815
782	2924	810
783	2926	806
784	2927	801
785	2928	797
786	2929	792
787	2931	788
788	2932	784
789	2936	780
790	2938	776
791	2939	772
792	2941	767
793	2942	763
794	2943	759
795	2944	754
796	2946	750
797	2947	746
798	2951	742
799	2953	738
800	2954	734
801	2956	729
802	2957	725
803	2959	721
804	2960	717
805	2962	712
806	2963	708
807	2966	705
808	2968	700
809	2969	696
810	2970	692
811	2972	688
812	2973	683
813	2974	679
814	2975	675
815	2977	671
816	2980	667
817	2982	663
818	2983	659
819	2984	655
820	2986	651
821	2987	646
822	2988	642
823	2990	638
824	2991	634
825	2992	630
826	2995	626
827	2997	622
828	2998	618
829	3000	614
830	3001	610
831	3003	606
832	3005	602
833	3006	598
834	3010	594
835	3012	590
836	3013	586
837	3015	582
838	3016	578
839	3018	574
840	3020	570
841	3021	567
842	3025	563
843	3026	559
844	3028	555
845	3030	551
846	3031	547
847	3033	543
848	3034	539
849	3036	535
850	3040	532
851	3042	528
852	3043	524
853	3045	520
854	3047	516
855	3049	512
856	3051	509
857	3054	505
858	3056	501
859	3057	497
860	3059	493
861	3061	490
862	3062	486
863	3064	482
864	3065	478
865	3070	475
866	3071	471
867	3073	467
868	3074	463
869	3076	459
870	3078	455
871	3079	452
872	3081	448
873	3084	444
874	3086	440
875	3087	437
876	3089	433
877	3092	429
878	3095	426
879	3099	422
880	3100	418
881	3102	415
882	3104	411
883	3105	407
884	3107	403
885	3109	400
886	3110	396
887	3113	392
888	3115	389
889	3117	385
890	3118	381
891	3120	377
892	3122	374
893	3123	370
894	3125	366
895	3128	363
896	3130	359
897	3132	355
898	3133	352
899	3135	348
900	3136	344
901	3138	340
902	3139	337
903	3144	333
904	3146	330
905	3147	326
906	3149	322
907	3150	319
908	3151	315
909	3153	311
910	3154	308
911	3156	304
912	3159	301
913	3160	297
914	3161	293
915	3163	290
916	3164	286
917	3165	282
918	3167	279
919	3168	275
920	3169	271
921	3173	268
922	3174	264
923	3175	261
924	3176	257
925	3178	253
926	3179	250
927	3180	246
928	3182	243
929	3183	239
930	3184	236
931	3188	232
932	3189	229
933	3190	225
934	3191	221
935	3193	218
936	3194	214
937	3195	211
938	3197	207
939	3198	204
940	3201	200
941	3203	197
942	3204	193
943	3206	190
944	3207	186
945	3208	183
946	3209	179
947	3211	176
948	3212	172
949	3213	169
950	3216	165
951	3218	162
952	3219	158
953	3221	155
954	3222	151
955	3224	148
956	3225	144
957	3226	141
958	3227	138
959	3230	134
960	3232	131
961	3233	127
962	3235	124
963	3236	120
964	3237	117
965	3239	114
966	3240	110
967	3241	107
968	3244	103
969	3246	100
970	3247	96
971	3249	93
972	3250	90
973	3251	86
974	3253	83
975	3254	80
976	3255	76
977	3257	73
978	3259	69
979	3260	66
980	3262	63
981	3263	59
982	3264	56
983	3266	53
984	3267	49
985	3269	46
986	3270	43
987	3273	39
988	3275	36
989	3276	33
990	3277	29
991	3279	26
992	3280	23
993	3281	19
994	3283	16
995	3284	13
996	3287	9
997	3289	6
998	3290	3
999	3291	0
